Intel Xeon 3.06,130.0,97.0,237.0
Intel Pentium 4 HT 520,90.0,84.0,109.0
AMD Athlon 64 FX-51,130.0,89.0,193.0
Intel Xeon E3-1280 v5,14.0,80.0,160.0
AMD Athlon II X3 455,45.0,95.0,169.0
Intel Pentium 4 2.0,130.0,110.0,146.0
AMD Ryzen 7 2700,12.0,65.0,192.0
Intel Celeron 2.30,130.0,73.0,146.0
AMD Athlon 750,180.0,43.0,120.0
AMD Sempron 150,45.0,45.0,117.0
AMD Athlon 1200,180.0,66.0,120.0
Intel Core 2 Duo T7600G,65.0,35.0,143.0
Intel Core i7-3970X,32.0,150.0,435.0
AMD Mobile Athlon 64 3400+,130.0,62.0,193.0
AMD Opteron 6168,45.0,115.0,346.0
AMD Athlon XP 2800+ DTR,130.0,68.0,101.0
Intel Atom E660,45.0,3.0,26.0
Intel Core i5-3475S,22.0,65.0,160.0
AMD C-50,40.0,9.0,75.0
AMD Athlon 64 FX-74,90.0,125.0,235.0
Intel Atom N280,45.0,3.0,26.0
AMD Turion 64 ML-40,90.0,35.0,125.0
Intel Celeron 2.80,130.0,73.0,146.0
Intel Pentium G630T,32.0,35.0,131.0
AMD Phenom II X3 B73,45.0,95.0,258.0
AMD Ryzen 3 1300X,14.0,65.0,192.0
Intel Pentium M 715,90.0,21.0,84.0
Intel Pentium D 840 EE,90.0,130.0,206.0
AMD Athlon X2 4050e,65.0,45.0,126.0
Intel Core i7-4790S,22.0,65.0,177.0
AMD Ryzen 5 PRO 3500U,12.0,15.0,210.0
Intel Xeon E3-1280,32.0,95.0,216.0
Intel Core 2 Duo U7600,65.0,10.0,111.0
AMD Athlon XP 2400+,130.0,68.0,80.0
AMD E1-2100,32.0,9.0,246.0
AMD EPYC 7401P,14.0,170.0,213.0
Intel Xeon 7140M,65.0,150.0,435.0
Intel Xeon E5-2650 v2,22.0,95.0,160.0
Intel Atom Z620,45.0,1.0,65.0
Intel Xeon 2.0,130.0,89.0,217.0
AMD Phenom II X3 705e,45.0,65.0,258.0
Intel Pentium 4 511,90.0,84.0,109.0
AMD Athlon XP 3000+,130.0,68.0,101.0
AMD Phenom II X3 700e,45.0,65.0,258.0
AMD Opteron 842,130.0,82.0,193.0
AMD Sempron 3000+,130.0,25.0,144.0
Intel Pentium 4 1.8A,180.0,67.0,217.0
Intel Xeon 7110M,65.0,95.0,435.0
AMD FX-8140,32.0,95.0,315.0
Intel Atom D2550,32.0,10.0,66.0
Intel Celeron G3920,14.0,51.0,150.0
AMD Ryzen 5 3400G,12.0,65.0,210.0
Intel Core i3-8145U,10.0,28.0,123.0
AMD Athlon 64 X2 6000+,90.0,125.0,220.0
Intel Core 2 Duo E6600,65.0,65.0,143.0
AMD EPYC 7272,7.0,120.0,74.0
AMD Athlon 64 LE-1660,65.0,45.0,77.0
Intel Pentium SU4100,45.0,10.0,107.0
AMD Athlon 64 2800+,130.0,89.0,144.0
Intel Pentium M 765,90.0,21.0,84.0
Intel Core i3-350M,32.0,35.0,81.0
AMD Phenom X3 8400,65.0,95.0,285.0
Intel Core i7-8550U,14.0,15.0,123.0
AMD Ryzen Threadripper 1920X,14.0,180.0,213.0
Intel Pentium 4 2.4,130.0,92.0,146.0
AMD EPYC 7551P,14.0,180.0,213.0
AMD Athlon XP-M 2000+,130.0,45.0,101.0
Intel Core i3-2102,32.0,65.0,131.0
AMD A6-3400M,32.0,35.0,228.0
AMD EPYC 7451,14.0,180.0,213.0
Intel Atom Z510PT,45.0,2.0,26.0
AMD Ryzen 7 PRO 3700U,12.0,15.0,210.0
AMD Athlon 64 X2 5200+,90.0,89.0,220.0
AMD Athlon 64 X2 4200+,90.0,89.0,220.0
Intel Pentium 4 HT 641,65.0,86.0,81.0
Intel Core M-5Y10a,14.0,5.0,50.0
AMD Athlon II X2 260,45.0,65.0,117.0
Intel Pentium 4 HT 524,90.0,84.0,109.0
AMD Opteron 840,130.0,82.0,193.0
AMD Athlon 64 X2 4600+,65.0,65.0,126.0
Intel Pentium 4-M 1.60,130.0,30.0,131.0
Intel Pentium M 780,90.0,27.0,84.0
AMD A8-3850,32.0,100.0,228.0
Intel Celeron G540T,32.0,35.0,131.0
AMD Opteron 240 EE,130.0,30.0,193.0
AMD Opteron 3380,32.0,65.0,315.0
Intel Core i7-640M,32.0,35.0,81.0
Intel Xeon E5-2403 v2,22.0,80.0,160.0
Intel Pentium G640,32.0,65.0,131.0
Intel Core 2 Duo U7500,65.0,10.0,111.0
Intel Xeon E3-1230,32.0,80.0,216.0
Intel Pentium Dual-Core E2160,65.0,65.0,77.0
Intel Pentium 997,32.0,17.0,131.0
AMD Athlon II X3 440,45.0,95.0,169.0
AMD Phenom II X6 1055T (125W),45.0,125.0,346.0
Intel Core i7-9750H,14.0,45.0,149.0
AMD Ryzen 3 PRO 1300,14.0,65.0,192.0
Intel Core i5-3470S,22.0,65.0,133.0
AMD Athlon XP-M 3000+,130.0,45.0,101.0
AMD Sempron 2600+,130.0,62.0,101.0
AMD FX-8320E,32.0,95.0,315.0
AMD Athlon X2 5050e,65.0,45.0,126.0
AMD Ryzen 5 PRO 2500U,14.0,15.0,246.0
Intel Core i5-4690K,22.0,88.0,177.0
Intel Core i7-4850EQ,22.0,47.0,264.0
AMD EPYC 7301,14.0,170.0,213.0
AMD EPYC 7551,14.0,180.0,213.0
Intel Core i5-4440,22.0,84.0,177.0
Intel Pentium G3460,22.0,54.0,177.0
AMD Athlon 1300,180.0,68.0,120.0
Intel Core 2 Duo U7700,65.0,10.0,111.0
Intel Xeon E7-8860,32.0,130.0,513.0
AMD Opteron 2350 HE,65.0,79.0,285.0
Intel Xeon 3.06,130.0,89.0,217.0
Intel Core i5-3610ME,22.0,35.0,118.0
AMD Athlon 64 1500+,90.0,9.0,84.0
AMD Sempron 3100+,90.0,62.0,84.0
AMD Sempron 3400+,90.0,62.0,103.0
AMD Mobile Athlon 64 3200+,130.0,82.0,193.0
AMD Athlon 3000G,14.0,35.0,148.0
